feature,feature_label,term,estimate,se,tval,pval,l
exports,Exports,rel_time_bin::-11:is_winner,0.6053175552353509,2.1328537288283975,0.28380640784394495,0.7778052624527305,-11
exports,Exports,rel_time_bin::-10:is_winner,0.8539711312541687,3.23223619489087,0.26420443301885654,0.7927774989434229,-10
exports,Exports,rel_time_bin::-9:is_winner,-1.6889240396063836,2.7197029523917813,-0.6209957738660752,0.537602566305012,-9
exports,Exports,rel_time_bin::-8:is_winner,-1.1701015960277086,2.1216505298832407,-0.5515053396150505,0.5838999983861628,-8
exports,Exports,rel_time_bin::-7:is_winner,-0.3561644489317686,3.0897923814767596,-0.11527132083921462,0.9087211507210404,-7
exports,Exports,rel_time_bin::-6:is_winner,-0.8466486130148968,1.8443003874198967,-0.45906221068430436,0.6483055910489646,-6
exports,Exports,rel_time_bin::-5:is_winner,0.7577569111600534,1.9934281285157964,0.38012753021812734,0.7055632150251391,-5
exports,Exports,rel_time_bin::-4:is_winner,2.729781180190116,2.6218062219169047,1.041183424377667,0.30311685844122516,-4
exports,Exports,rel_time_bin::-3:is_winner,2.95161684492023,1.8607400261216565,1.586259662007857,0.11938632126885905,-3
exports,Exports,rel_time_bin::-2:is_winner,2.732301350307379,2.1586373127869902,1.2657528590477936,0.2118401597463051,-2
exports,Exports,rel_time_bin::-1:is_winner,4.323920565126529,1.3537470018777371,3.1940388854999964,0.002505518453437421,-1
exports,Exports,rel_time_bin::1:is_winner,3.7722136424711445,2.6295588782709265,1.4345423765341105,0.15803832863209438,1
exports,Exports,rel_time_bin::2:is_winner,5.80987248722372,2.626742049446925,2.2118169115414363,0.031877241658863166,2
exports,Exports,rel_time_bin::3:is_winner,4.270530713225487,2.3977466390408724,1.7810600351560708,0.08136578943969473,3
exports,Exports,rel_time_bin::4:is_winner,5.422101671685311,3.6700438272765035,1.4773942565446119,0.14624004635644516,4
exports,Exports,rel_time_bin::5:is_winner,1.8269493228596658,1.8457348795297215,0.989822180380076,0.32732967582959727,5
exports,Exports,rel_time_bin::6:is_winner,-0.9228610349256625,1.9708055709235532,-0.4682658951959396,0.6417588846227844,6
exports,Exports,rel_time_bin::7:is_winner,-0.13961686619744113,2.705750745629509,-0.05160004720425881,0.9590660671078355,7
exports,Exports,rel_time_bin::8:is_winner,-0.8989039597618058,2.5668893087853055,-0.35019194504619366,0.7277592179592562,8
exports,Exports,rel_time_bin::9:is_winner,0.4838433650226791,2.879427273286626,0.16803458434649482,0.8672770668764205,9
exports,Exports,rel_time_bin::10:is_winner,1.2185840030694999,3.398203892237061,0.3585964944167307,0.7215027722931454,10
exports,Exports,rel_time_bin::11:is_winner,-0.4985036135949667,3.1022056553226336,-0.16069328374141,0.8730236906192399,11
exports,Exports,rel_time_bin::12:is_winner,1.2045058699415705,2.91804246109248,0.4127787330039803,0.6816457679037888,12
exports,Exports,rel_time_bin::13:is_winner,-0.13643368197539651,2.881520771763126,-0.04734780443450226,0.9624366505083413,13
