country_code,country_name,year,population_million,population,unit_measure,source
HUN,Hungary,1967,10216607,10216607000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1968,10255807,10255807000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1969,10298722,10298722000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1970,10337912,10337912000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1971,10367535,10367535000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1972,10398491,10398491000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1973,10432053,10432053000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1974,10478720,10478720000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1975,10540523,10540523000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1976,10598674,10598674000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1977,10648028,10648028000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1978,10684829,10684829000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1979,10704148,10704148000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1980,10711126,10711126000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1981,10711853,10711853000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1982,10705537,10705537000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1983,10689467,10689467000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1984,10668092,10668092000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1985,10648715,10648715000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1986,10630565,10630565000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1987,10612743,10612743000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1988,10596489,10596489000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1989,10481717,10481717000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1990,10373987,10373987000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1991,10373398,10373398000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1992,10369339,10369339000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1993,10357518,10357518000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1994,10343359,10343359000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1995,10328967,10328967000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1996,10311235,10311235000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1997,10290475,10290475000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1998,10266571,10266571000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1999,10237527,10237527000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2000,10210965,10210965000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2001,10187578,10187578000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,2002,10158610,10158610000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
