country,country_name,quarter,gdp,consumption,investment,exports,imports,year,qtr,gdp_yoy_pct,consumption_yoy_pct,investment_yoy_pct,exports_yoy_pct,imports_yoy_pct
SWE,Sweden,1983-Q4,281094.7,115486.4,58806.0,54631.9,54297.3,1983,4,2.8017008863933768,-0.35458101501028017,4.965166900791251,8.424593645186263,1.9744206137550346
SWE,Sweden,1984-Q1,287438.6,116041.54999999999,59491.5,59939.4,54531.7,1984,1,6.324771528614681,1.9405697228077612,5.375073728809054,12.734371914302978,5.122159978101037
SWE,Sweden,1984-Q2,283088.1,116143.15,60943.0,56625.5,54950.8,1984,2,3.8963693830843305,2.0000298597120603,11.245379455117966,5.877282535123851,8.011825107911964
SWE,Sweden,1984-Q3,286830.6,116967.6,59831.7,56024.8,54890.3,1984,3,4.096379770438974,2.105171269946582,4.936413812698293,3.716977988411063,5.554412434930267
SWE,Sweden,1984-Q4,289497.7,117364.05,63689.2,58046.1,56563.8,1984,4,2.9893840047499953,1.6258624392136323,8.303914566540826,6.249462310481602,4.1742407081015065
SWE,Sweden,1985-Q1,289899.7,119250.85,65056.2,55821.5,60818.3,1985,1,0.8562176409153244,2.765647304780061,9.35377322810822,-6.870105473194599,11.528340396503323
SWE,Sweden,1985-Q2,292963.9,119507.45000000001,66333.7,57897.2,60345.4,1985,2,3.4885959529913357,2.896683962851032,8.845478561934916,2.245807984035464,9.817145519264493
SWE,Sweden,1985-Q3,296196.6,119483.09999999999,65095.2,60593.8,59594.3,1985,3,3.265341982340786,2.1505955495367823,8.797176078901314,8.155316931073386,8.569820168590802
SWE,Sweden,1985-Q4,293220.2,120117.35,64527.9,59187.2,57745.3,1985,4,1.2858478668396955,2.345948354713401,1.31686376968152,1.9658512802755101,2.0887917714156323
SWE,Sweden,1986-Q1,299153.4,121890.95,64385.5,59727.0,58999.0,1986,1,3.192035038325325,2.213904554978008,-1.0309547744872805,6.996408193975445,-2.991369374020658
SWE,Sweden,1986-Q2,300650.7,123309.04999999999,65767.6,60482.5,62666.4,1986,2,2.623804502875604,3.1810569131882405,-0.853412368072326,4.465328202400132,3.8461920875493494
SWE,Sweden,1986-Q3,302121.0,125168.45,66553.3,61321.6,63496.4,1986,3,2.000158003164132,4.758287992193044,2.239950103847921,1.2011129851568825,6.547773864278961
SWE,Sweden,1986-Q4,303038.5,125640.3,67216.9,59989.7,62336.2,1986,4,3.3484391593757934,4.597961909749082,4.1671896962399035,1.3558674848615837,7.950257423547891
SWE,Sweden,1987-Q1,304421.1,126100.79999999999,68116.6,60656.4,62895.7,1987,1,1.7608691728056458,3.45378389453852,5.794938301325625,1.556080164749618,6.604688215054488
SWE,Sweden,1987-Q2,311155.0,128636.9,70710.9,62394.3,65392.7,1987,2,3.4938551614880575,4.320729094904241,7.5163150244192956,3.1609143140577833,4.350497236158435
SWE,Sweden,1987-Q3,314691.5,128630.35,73025.4,63324.2,67922.9,1987,3,4.16075016301416,2.765792817599011,9.724686829954333,3.265733444658969,6.971261362848913
SWE,Sweden,1987-Q4,315670.4,130450.0,73078.0,65632.1,70123.5,1987,4,4.168414244394691,3.8281506809518806,8.719682103756643,9.405614630511593,12.49242013468901
SWE,Sweden,1988-Q1,317180.8,131047.2,74446.2,63050.4,68688.8,1988,1,4.191463732310274,3.9225762247345086,9.29230172968114,3.9468217698379826,9.210645560825315
SWE,Sweden,1988-Q2,317794.2,130172.75,74383.7,64666.0,68188.1,1988,2,2.133727563433019,1.1939420181922955,5.1941072734189575,3.6408774519467224,4.274789081961772
SWE,Sweden,1988-Q3,318319.7,130948.55,76253.2,64435.3,69426.2,1988,3,1.1529386716832235,1.8022185277424718,4.42010588096744,1.7546214559362783,2.213244723061014
SWE,Sweden,1988-Q4,325057.7,132044.55,77902.5,67011.3,72041.3,1988,4,2.9737663081492505,1.2223457263319082,6.60185007799885,2.1014107426091666,2.7348891598394376
SWE,Sweden,1989-Q1,325593.1,132517.5,82237.9,67553.4,74176.7,1989,1,2.652209717612153,1.1219621632511112,10.466215871327211,7.141905523200465,7.989512118423958
SWE,Sweden,1989-Q2,327792.2,133547.55,84876.5,65843.3,73962.6,1989,2,3.1460611930614224,2.5925548934012665,14.106316303168565,1.8205857792348512,8.468486436782952
SWE,Sweden,1989-Q3,327893.3,133985.7,83920.3,67028.2,74411.0,1989,3,3.0075424172616216,2.319346033232139,10.054791143191366,4.024036514146734,7.1799983291610525
SWE,Sweden,1989-Q4,332179.5,134764.34999999998,88620.4,67018.3,77196.1,1989,4,2.1909341018532924,2.059759376664916,13.758095054715813,0.010445999406072382,7.155340061881166
SWE,Sweden,1990-Q1,332884.9,134789.65,84243.2,68426.6,76733.4,1990,1,2.2395437741156154,1.714603731582609,2.43841343224962,1.292607033842863,3.4467696729566066
SWE,Sweden,1990-Q2,331869.3,135535.95,85609.5,68984.8,76953.7,1990,2,1.2438062894724045,1.4889078833719038,0.8636077123820973,4.771176414304867,4.044070922331011
SWE,Sweden,1990-Q3,329237.9,134657.45,86443.6,66679.8,74491.9,1990,3,0.41007242294979207,0.5013594734363469,3.0067814342894517,-0.5197812264091772,0.108720484874536
SWE,Sweden,1990-Q4,332977.9,134180.0,83928.8,68060.6,73549.7,1990,4,0.24035197837315447,-0.43360873999687133,-5.29404064978266,1.555246850487113,-4.723554687348209
SWE,Sweden,1991-Q1,331941.1,136861.15,80967.4,66520.0,72285.6,1991,1,-0.2835214213681825,1.5368390673913046,-3.888503760540918,-2.786343322626006,-5.79643284410698
SWE,Sweden,1991-Q2,328133.1,138219.34999999998,76125.5,66992.6,70090.2,1991,2,-1.1258046465882798,1.9798437241189237,-11.078209778120417,-2.8878825480395665,-8.918999346360213
SWE,Sweden,1991-Q3,326538.7,136859.5,77432.2,66262.7,73179.5,1991,3,-0.8198327106326508,1.6352975643011192,-10.424600548797148,-0.6255267712260815,-1.7618022899133945
SWE,Sweden,1991-Q4,326032.8,138029.75,76632.8,67168.8,71368.1,1991,4,-2.0857540395323615,2.8690937546579143,-8.693082708200283,-1.3103028771418446,-2.9661575778011207
SWE,Sweden,1992-Q1,329024.4,139309.7,74060.9,68481.0,72937.1,1992,1,-0.8786799826836611,1.7890760087870161,-8.529976262051143,2.9479855682501555,0.9012860099383513
SWE,Sweden,1992-Q2,327334.4,139100.4,71027.6,67290.0,73126.9,1992,2,-0.2434073246496471,0.6374288404626505,-6.696704783548213,0.44392962804846725,4.33256004405751
SWE,Sweden,1992-Q3,322596.4,136564.9,66212.4,69126.0,75200.0,1992,3,-1.2072994717012064,-0.21525725287613318,-14.48983756111799,4.321133910933295,2.7610191378733218
SWE,Sweden,1992-Q4,318169.4,135992.95,64691.0,67813.3,69923.9,1992,4,-2.4118432255895605,-1.4756239144097516,-15.583144554290074,0.9595228737151684,-2.0235931739811086
SWE,Sweden,1993-Q1,314540.0,134549.25,59821.2,70750.2,69348.5,1993,1,-4.402226704159329,-3.4171705200714775,-19.227014524533182,3.313619836158921,-4.920129810480544
SWE,Sweden,1993-Q2,317027.0,134786.75,59192.9,71795.2,69899.6,1993,2,-3.1488899425175076,-3.101105388625769,-16.662114445652122,6.695199881111602,-4.413287039379476
SWE,Sweden,1993-Q3,318796.9,135204.2,57654.1,76739.5,71740.2,1993,3,-1.1777874768596264,-0.9963760819946987,-12.925524524107256,11.01394554870816,-4.600797872340435
SWE,Sweden,1993-Q4,319401.2,135556.95,58893.6,76685.0,73699.3,1993,4,0.3871522528565041,-0.32060485488402124,-8.96167936807284,13.08253690647705,5.399298380096096
SWE,Sweden,1994-Q1,323792.3,136378.7,62484.5,80360.7,75605.3,1994,1,2.9415336682139026,1.3596879952879837,4.452100593100772,13.583707183866611,9.022257150479106
SWE,Sweden,1994-Q2,328020.8,136493.0,60702.9,82351.1,79954.6,1994,2,3.4677803467843438,1.2658885239090534,2.550981621106585,14.702793501515444,14.384917796382247
SWE,Sweden,1994-Q3,329632.2,136524.35,61870.2,83526.0,80053.8,1994,3,3.398809712390549,0.9764119753676193,7.312749657006168,8.843555144351999,11.588481771726311
SWE,Sweden,1994-Q4,336899.2,136486.1,67569.8,88878.4,84968.1,1994,4,5.478376411860686,0.6854314736352451,14.731991252020604,15.90063245745581,15.29024020580929
SWE,Sweden,1995-Q1,341358.6,137322.85,66110.5,93137.7,84761.9,1995,1,5.425175336164578,0.6923001905722703,5.803039153710121,15.89956284601801,12.11105570641211
SWE,Sweden,1995-Q2,343422.5,138152.75,65550.1,93798.6,85816.9,1995,2,4.695342490476206,1.2159964247250743,7.985120974450988,13.9008464974967,7.33203593039049
SWE,Sweden,1995-Q3,343159.3,138209.35,68924.8,93619.2,87276.3,1995,3,4.103694966693183,1.2342120654667,11.402258276197607,12.083902018533156,9.022057666219464
SWE,Sweden,1995-Q4,347822.4,137718.25,73500.0,93808.0,87440.3,1995,4,3.2422754343138793,0.9027659226837015,8.776406027544837,5.546454481628849,2.9095625299377037
SWE,Sweden,1996-Q1,350497.9,138680.55,69833.7,94852.0,87119.7,1996,1,2.677331111622805,0.9886919766084024,5.631783150936687,1.8406080459362872,2.7816743135772093
SWE,Sweden,1996-Q2,347086.6,139125.9,69835.3,97907.4,88068.9,1996,2,1.0669364995013364,0.7044014686642175,6.5372897981848865,4.380449175147594,2.6241917384571156
SWE,Sweden,1996-Q3,348778.7,139879.3,72619.9,97404.0,89500.4,1996,3,1.6375485088121033,1.2082757063830885,5.361060169924303,4.042760459392958,2.548343593850788
SWE,Sweden,1996-Q4,353088.3,140106.15,76017.2,100386.1,93005.6,1996,4,1.5139622980003598,1.7339023695116529,3.4247619047619082,7.01230172266758,6.364685391061098
SWE,Sweden,1997-Q1,354366.5,141059.95,70419.9,105811.5,95365.0,1997,1,1.1037441308492824,1.715741681151406,0.839422800166667,11.554316197866154,9.464334702713618
SWE,Sweden,1997-Q2,360121.6,142164.3,73416.5,111012.4,100512.7,1997,2,3.7555468865695163,2.1839211821810256,5.128065605789622,13.385096529986495,14.129618968784662
SWE,Sweden,1997-Q3,362386.1,142408.2,71502.9,112832.0,102020.6,1997,3,3.9014423759248906,1.8079158245716265,-1.5381458801237646,15.839185249065757,13.988987758713932
SWE,Sweden,1997-Q4,368646.6,142666.7,76678.4,116283.5,105404.1,1997,4,4.406348213747102,1.8275785895194518,0.869803149813464,15.836256214754819,13.330917708181023
SWE,Sweden,1998-Q1,370207.2,145294.4,76227.6,117883.5,109656.7,1998,1,4.470146021139132,3.0018796972492767,8.24724261181855,11.408967834309136,14.986315734284062
SWE,Sweden,1998-Q2,374026.6,146572.6,77629.9,119210.7,111084.5,1998,2,3.8611957738719394,3.1008488066272655,5.739036865009894,7.3850308614172855,10.517874855615261
SWE,Sweden,1998-Q3,378031.9,147762.1,78313.2,122533.9,112152.4,1998,3,4.31743932783295,3.759544745316634,9.524508796146725,8.598535876347135,9.931131555783823
SWE,Sweden,1998-Q4,383243.0,148445.15000000002,82252.3,125089.4,114318.0,1998,4,3.959456021023944,4.050314474225591,7.269191845421941,7.572785476873323,8.456881658303605
SWE,Sweden,1999-Q1,385708.8,149972.8,81496.7,125043.5,114216.6,1999,1,4.187276746643498,3.2199451596207407,6.912325719293255,6.073793194128108,4.158341441973001
SWE,Sweden,1999-Q2,387624.5,150441.25,80705.2,127583.2,115417.9,1999,2,3.635543568291677,2.6394087298717395,3.9614890654245283,7.023278950631107,3.900994288131998
SWE,Sweden,1999-Q3,393510.3,150903.8,85050.1,131882.3,119252.1,1999,3,4.094469276270063,2.1261879737767497,8.602508900159878,7.629235664579359,6.330403986004773
SWE,Sweden,1999-Q4,398088.3,153814.15,85261.3,132652.7,121536.1,1999,4,3.873599778730452,3.6168241266218315,3.658256364867607,6.0463156750292235,6.314053779807205
SWE,Sweden,2000-Q1,399044.9,155032.5,85017.8,136965.7,126182.4,2000,1,3.4575565815454734,3.373745105779191,4.320543040393043,9.534442014179078,10.476410609315966
SWE,Sweden,2000-Q2,410823.3,155903.05,87215.0,142987.0,132091.1,2000,2,5.9848642178190525,3.6305202196870834,8.06614691494476,12.07353319245794,14.445939494653782
SWE,Sweden,2000-Q3,414923.2,156541.8,88671.9,149128.7,137135.5,2000,3,5.441509409029455,3.736155086883164,4.258431207017965,13.077114972972126,14.996297759117017
SWE,Sweden,2000-Q4,415442.5,156194.65000000002,91045.1,150396.9,135159.2,2000,4,4.359384588796011,1.5476469492566425,6.783616951653326,13.376433348133876,11.20909754385735
SWE,Sweden,2001-Q1,415341.8,156580.5,90148.7,146844.9,135718.3,2001,1,4.083976514923493,0.9985003144501903,6.03508912251316,7.2129007481434915,7.557234606411023
SWE,Sweden,2001-Q2,413761.6,156603.65,88167.3,143967.0,130611.4,2001,2,0.7152223352473008,0.44938184339562426,1.0918993292438284,0.6853769923139907,-1.12021173266027
SWE,Sweden,2001-Q3,417225.6,157085.45,89290.5,145583.5,128680.3,2001,3,0.5548978702564655,0.34728743377170357,0.6976279971445454,-2.3772754674318275,-6.165580757717725
SWE,Sweden,2001-Q4,419104.6,157387.3,93645.2,147238.0,128915.3,2001,4,0.8814938288692176,0.7635664857919,2.855837381693238,-2.1003757391276023,-4.61966333035414
SWE,Sweden,2002-Q1,422423.1,159710.34999999998,87113.5,148499.0,130573.2,2002,1,1.7049331418123481,1.9988759775322995,-3.366881607832395,1.1264265902322768,-3.791014181580521
SWE,Sweden,2002-Q2,427141.0,160062.09999999998,91311.7,150008.6,130208.5,2002,2,3.2336011848368873,2.208409574106329,3.5664016024081313,4.196517257427046,-0.30847230793024094
SWE,Sweden,2002-Q3,426347.3,160303.85,90184.6,146137.6,127571.3,2002,3,2.186275242938107,2.0488211989079685,1.0013383282656108,0.3806063187105746,-0.861825780636194
SWE,Sweden,2002-Q4,427179.3,161090.55,89669.4,148506.5,130345.3,2002,4,1.9266550641534375,2.3529535102260413,-4.245599347323736,0.8615303114685169,1.1092554568775004
SWE,Sweden,2003-Q1,432324.5,161208.84999999998,92817.4,151318.9,134002.7,2003,1,2.343953254450337,0.9382610456992957,6.547664828069122,1.8989353463659597,2.6264960956766226
SWE,Sweden,2003-Q2,431613.5,161668.05,90020.7,152560.0,132510.1,2003,2,1.047078131108936,1.003329332802716,-1.4138385332876258,1.7008358187463823,1.7676265374380273
SWE,Sweden,2003-Q3,435143.0,162683.45,89764.3,156596.5,133483.6,2003,3,2.063036402482199,1.484430972805706,-0.46604409178507833,7.156885017955683,4.634506350566303
SWE,Sweden,2003-Q4,438158.4,163142.45,90428.9,159060.5,136459.4,2003,4,2.5701385811531585,1.2737556610242118,0.8470002029677959,7.106759636783577,4.690694639545878
SWE,Sweden,2004-Q1,445061.2,163865.0,91534.2,164961.1,136927.4,2004,1,2.9460972024486276,1.6476452750578074,-1.3824994020517622,9.01552945468147,2.182567963182813
SWE,Sweden,2004-Q2,448395.7,163411.65,94174.0,172392.7,142423.2,2004,2,3.8882472397179457,1.0785062354621067,4.613716622954511,12.99993445201888,7.481014654731988
SWE,Sweden,2004-Q3,452034.2,163938.09999999998,96276.8,172354.7,143512.1,2004,3,3.881758410453573,0.7712216577654196,7.255111441853823,10.062932441018813,7.512907952737269
SWE,Sweden,2004-Q4,454421.3,164539.09999999998,98027.5,173723.0,146672.8,2004,4,3.7116485727535897,0.8560923291270672,8.402844665809273,9.218190562710404,7.48457050228859
SWE,Sweden,2005-Q1,456150.1,165754.05,96601.1,174874.8,145617.8,2005,1,2.4915449830270386,1.1528087144905719,5.53552661191119,6.009719867289909,6.346720963079711
SWE,Sweden,2005-Q2,459792.2,166347.25,97797.3,180950.3,150363.0,2005,2,2.5416167014982616,1.7964447455245836,3.8474525877630894,4.964015297631508,5.574793994236882
SWE,Sweden,2005-Q3,466579.5,168024.05,99492.2,188142.3,153230.7,2005,3,3.217743259248973,2.492373645906598,3.3397454007611405,9.15994748039941,6.771972537507298
SWE,Sweden,2005-Q4,467521.8,168273.55,98568.5,187805.3,159061.1,2005,4,2.8828974346052805,2.2696428994688933,0.5518859503710782,8.10618052877281,8.446214976464628
SWE,Sweden,2006-Q1,476129.8,169183.0,101833.5,196452.8,159674.6,2006,1,4.380071384397377,2.0686975672691066,5.416501468409773,12.339113468607255,9.653215472284305
SWE,Sweden,2006-Q2,484054.0,170594.35,109519.6,196442.6,163121.4,2006,2,5.276688034290267,2.5531531179505462,11.986322730791144,8.561632669302032,8.485066139941333
SWE,Sweden,2006-Q3,488292.5,171908.0,109800.2,198619.6,166187.3,2006,3,4.653654950549702,2.3115440914559526,10.360611183590262,5.568816794522036,8.455616270107736
SWE,Sweden,2006-Q4,492861.7,173533.75,111317.6,204494.2,171631.6,2006,4,5.420046722954952,3.1259814748069603,12.934253843773625,8.886277437324729,7.902937927626552
SWE,Sweden,2007-Q1,495353.4,174253.05,115707.4,203333.3,174626.6,2007,1,4.037470454485326,2.9967845469107246,13.62410208821261,3.502367998827194,9.36404412473868
SWE,Sweden,2007-Q2,501053.8,175810.45,118544.7,207605.7,176434.5,2007,2,3.511963541257801,3.0576041938082943,8.24062542229884,5.682626884392694,8.161467471466043
SWE,Sweden,2007-Q3,502653.2,177630.2,116471.9,208387.4,183969.5,2007,3,2.94100359927707,3.328640900947022,6.076218440403558,4.917842952055085,10.700095615007887
